City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Martapura,ID,-3.4167,114.85,75.29,100,90,1.14,overcast clouds
315,San Jose De Gracia,MX,20.6667,-102.5833,73.81,28,6,1.36,clear sky
316,Fort Frances,CA,48.5999,-93.4003,34.02,66,1,1.99,clear sky
317,Orchard Homes,US,46.8633,-114.0484,41.27,66,90,1.99,overcast clouds
318,Fairview,US,40.8126,-73.999,45.23,58,100,10.0,overcast clouds
319,Zhurivka,UA,50.5028,31.7849,40.98,77,13,12.17,few clouds
320,Keflavik,IS,64.0049,-22.5624,32.43,74,90,8.05,snow
321,Caravelas,BR,-17.7125,-39.2481,74.82,91,100,2.08,overcast clouds
322,Ndende,GA,-2.4008,11.3581,72.77,100,100,0.83,moderate rain
323,Mehamn,NO,71.0357,27.8492,29.07,68,100,24.76,light snow
324,Qujing,CN,25.4833,103.7833,51.93,91,65,0.51,broken clouds
325,Broken Hill,AU,-31.95,141.4333,53.31,87,90,14.97,overcast clouds
326,Tura,IN,25.5198,90.2201,61.83,75,14,2.64,few clouds
327,Dingle,PH,10.9995,122.6711,76.19,91,50,3.71,scattered clouds
328,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,43,40,23.02,light rain
329,Teknaf,BD,20.8624,92.3058,71.64,70,2,8.59,clear sky
330,Tiarei,PF,-17.5333,-149.3333,87.82,68,2,15.35,clear sky
331,Dubrovnik,HR,42.6481,18.0922,60.44,47,0,4.61,clear sky
332,Henties Bay,NA,-22.116,14.2845,59.86,95,19,6.04,few clouds
333,Thompson,CA,55.7435,-97.8558,19.56,79,90,13.8,light snow
334,Bonoua,CI,5.2741,-3.595,82.02,91,19,4.36,light rain
335,Yamada,JP,39.4667,141.95,42.39,71,90,4.27,overcast clouds
336,Tautira,PF,-17.7333,-149.15,87.82,67,12,13.49,few clouds
337,Milkovo,RU,54.7167,158.6167,32.41,80,100,20.22,light snow
338,Atherton,GB,53.5237,-2.4935,49.42,84,98,3.0,overcast clouds
339,Husavik,IS,66.0449,-17.3389,17.51,86,100,10.25,overcast clouds
340,Araouane,ML,18.9048,-3.5265,78.1,26,27,12.26,scattered clouds
341,Lalmohan,BD,22.3384,90.7419,71.26,69,6,4.97,clear sky
342,Los Arabos,CU,22.7281,-80.7214,80.15,68,84,11.01,broken clouds
343,Tomatlan,MX,19.9333,-105.25,90.27,37,4,5.5,clear sky
344,Qasigiannguit,GL,68.8193,-51.1922,18.55,95,100,11.41,snow
345,Turochak,RU,52.2576,87.1224,5.09,96,71,3.22,broken clouds
346,East London,ZA,-33.0153,27.9116,63.43,87,100,11.39,light rain
